name,gsis_id,rank,team,position,fumbles,pass_att,pass_comp,pass_ints,pass_tds,pass_2_pt,pass_yards,receptions,rec_tds,rec_2_pt,rec_yards,rush_att,rush_tds,rush_2_pt,rush_yards,kick_ret_tds,punt_ret_tds,fg_made_yards,made_pat,miss_pat,made_0_19,miss_0_19,made_20_29,miss_20_29,made_30_39,miss_30_39,made_40_49,miss_40_49,made_50_plus,miss_50_pluis,sacks,interceptions,fum_rec,safeties,def_tds,return_tds,pts_allowed
B.Green-Ellis,00-0025860,169,CIN,RB,2,,,,,,,4,0,0,22,220,7,0,756,,,,,,,,,,,,,,,,,,,,,,
D.Baldwin,00-0028434,170,SEA,WR,,,,,,,,50,5,0,778,2,0,0,6,0,,,,,,,,,,,,,,,,,,,,,
C.Polk,00-0029438,171,PHI,RB,,,,,,,,4,0,0,61,11,3,0,98,0,,,,,,,,,,,,,,,,,,,,,
B.Brown,00-0029429,172,PHI,RB,,,,,,,,8,0,0,84,75,2,1,314,,,,,,,,,,,,,,,,,,,,,,
J.Flacco,00-0026158,173,BAL,QB,2,614,362,22,19,2,3912,,,,,27,1,0,132,,,,,,,,,,,,,,,,,,,,,,
M.Bennett,00-0026201,174,CHI,TE,1,,,,,,,65,5,0,759,,,,,,,,,,,,,,,,,,,,,,,,,,
D.McCluster,00-0027651,175,KC,RB,0,,,,,,,53,2,0,512,8,0,0,5,,2,,,,,,,,,,,,,,,,,,,,
K.Stills,00-0030085,176,NO,WR,,,,,,,,32,5,0,641,3,0,0,10,,,,,,,,,,,,,,,,,,,,,,
R.Tannehill,00-0029701,177,MIA,QB,5,580,350,17,23,0,3873,,,,,39,1,0,238,,,,,,,,,,,,,,,,,,,,,,
L.Dunbar,00-0029004,178,DAL,RB,1,,,,,,,7,0,0,59,30,0,0,150,0,,,,,,,,,,,,,,,,,,,,,
D.Moore,00-0028086,179,OAK,WR,,,,,,,,46,5,0,695,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Manziel,00-0031409,180,CLE,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Dwyer,00-0027786,181,PIT,RB,,,,,,,,8,0,0,64,49,0,0,197,0,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0023436,182,KC,QB,2,509,308,8,23,0,3313,1,0,0,-4,75,1,0,432,,,,,,,,,,,,,,,,,,,,,,
M.Reece,00-0026393,183,OAK,RB,,1,1,0,0,0,22,32,2,0,331,46,2,0,218,,,,,,,,,,,,,,,,,,,,,,
D.Walker,00-0024389,184,TEN,TE,0,,,,,,,60,6,0,571,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Streater,00-0029129,185,OAK,WR,1,,,,,,,60,4,0,888,2,0,0,17,,,,,,,,,,,,,,,,,,,,,,
R.Turbin,00-0029273,186,SEA,RB,1,,,,,,,8,0,0,60,77,0,0,264,0,,,,,,,,,,,,,,,,,,,,,
M.Lee,00-0031431,187,JAX,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Beckham,00-0031235,188,NYG,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay.Buccaneers,,189,TB,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,21,10,1,3,,381
New Orleans.Saints,,190,NO,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,12,7,,,,292
N.Folk,00-0025565,191,NYJ,K,,,,,,,,,,,,,,,,,,608,27,0,,,8,,10,1,12,2,3,,,,,,,,
